LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Actitis macularius,Spotted Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,3,3,2,1,2,1,2,0,3,3,2
Bartramia longicauda,Upland Sandpiper,1,C,0,0,0,0,0,0,3,0,0,0,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Numenius phaeopus,Whimbrel,1,C,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
Calidris pusilla,Semipalmated Sandpiper,1,C,3,3,3,3,3,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,0,0,0
Calidris minutilla,Least Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,3,3,0
Calidris fuscicollis,White-rumped Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,3
Calidris melanotos,Pectoral Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,3,3,3
Calidris alpina,Dunlin,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris himantopus,Stilt Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryngites subruficollis,Buff-breasted Sandpiper,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
